invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I810140,C829120,Female,18,Clothing,1,300.08,Debit Card,3/31/2022,Kanyon
I136710,C174971,Female,18,Clothing,1,300.08,Cash,2/8/2022,Kanyon
I222924,C130098,Female,18,Clothing,1,300.08,Cash,1/26/2022,Forum Istanbul
I256186,C205570,Male,18,Clothing,1,300.08,Cash,1/6/2022,Metrocity
I200755,C121031,Male,18,Clothing,2,600.16,Cash,3/10/2022,Zorlu Center
I470653,C206945,Female,18,Clothing,2,600.16,Debit Card,3/27/2022,Zorlu Center
I325125,C283759,Male,18,Clothing,2,600.16,Credit Card,3/13/2022,Kanyon
I224887,C734641,Female,18,Clothing,2,600.16,Credit Card,1/18/2022,Metrocity
I581033,C314279,Female,18,Clothing,2,600.16,Cash,2/2/2022,Mall of Istanbul
I188438,C342236,Female,18,Clothing,2,600.16,Cash,2/25/2022,Metrocity
I280674,C318836,Female,18,Clothing,2,600.16,Cash,3/21/2022,Kanyon
I261947,C186306,Male,18,Clothing,2,600.16,Debit Card,2/12/2022,Metrocity
I288363,C638734,Female,18,Clothing,2,600.16,Cash,3/19/2022,Metrocity
I554215,C295615,Female,18,Clothing,2,600.16,Cash,3/7/2022,Zorlu Center
I267559,C383164,Male,18,Clothing,2,600.16,Credit Card,1/10/2022,Forum Istanbul
I319010,C294639,Female,18,Clothing,2,600.16,Cash,3/4/2022,Zorlu Center
I718413,C417584,Male,18,Clothing,2,600.16,Credit Card,1/11/2022,Kanyon
I489138,C240292,Female,18,Clothing,2,600.16,Credit Card,1/5/2022,Mall of Istanbul
I219544,C218226,Male,18,Clothing,4,1200.32,Debit Card,3/17/2022,Forum Istanbul
I293800,C218729,Female,18,Clothing,4,1200.32,Cash,2/9/2022,Kanyon
I219965,C481879,Female,18,Clothing,4,1200.32,Cash,2/28/2022,Kanyon
I315507,C307488,Male,18,Clothing,4,1200.32,Debit Card,2/1/2022,Metrocity
I148581,C751192,Female,18,Clothing,4,1200.32,Cash,2/15/2022,Metrocity
I297311,C347038,Female,18,Clothing,4,1200.32,Cash,1/11/2022,Metrocity
I258809,C253183,Male,18,Clothing,4,1200.32,Cash,1/16/2022,Mall of Istanbul
I266827,C326522,Female,18,Clothing,4,1200.32,Cash,1/22/2022,Zorlu Center
I271370,C474661,Male,18,Clothing,4,1200.32,Credit Card,1/20/2022,Kanyon
I172017,C189830,Female,18,Clothing,4,1200.32,Credit Card,1/21/2022,Metrocity
I276020,C772861,Male,18,Toys,3,107.52,Debit Card,2/19/2022,Kanyon
I482801,C458349,Male,18,Toys,3,107.52,Credit Card,1/25/2022,Mall of Istanbul
I115882,C228905,Female,18,Toys,3,107.52,Cash,2/13/2022,Forum Istanbul
I281033,C129489,Female,18,Toys,3,107.52,Debit Card,2/19/2022,Mall of Istanbul
I279695,C211848,Female,18,Food & Beverage,1,5.23,Credit Card,2/18/2022,Mall of Istanbul
I190169,C254188,Male,18,Food & Beverage,1,5.23,Cash,2/3/2022,Mall of Istanbul
I194953,C118432,Female,18,Food & Beverage,1,5.23,Cash,3/6/2022,Forum Istanbul
I107308,C255135,Male,18,Food & Beverage,1,5.23,Debit Card,2/25/2022,Metrocity
I292818,C532053,Female,18,Food & Beverage,2,10.46,Credit Card,3/21/2022,Mall of Istanbul
I283019,C299743,Male,18,Food & Beverage,2,10.46,Cash,1/27/2022,Mall of Istanbul
I198336,C141802,Male,18,Food & Beverage,2,10.46,Credit Card,1/11/2022,Mall of Istanbul
I707659,C149364,Male,18,Food & Beverage,2,10.46,Cash,1/28/2022,Mall of Istanbul
I197653,C997087,Female,18,Food & Beverage,2,10.46,Cash,2/25/2022,Mall of Istanbul
I192465,C243433,Female,18,Food & Beverage,2,10.46,Cash,2/11/2022,Kanyon
I157882,C191731,Male,18,Food & Beverage,2,10.46,Cash,2/25/2022,Kanyon
I140356,C123938,Female,18,Food & Beverage,2,10.46,Cash,3/2/2022,Metrocity
I596930,C718981,Female,18,Food & Beverage,2,10.46,Debit Card,3/18/2022,Mall of Istanbul
I194258,C229167,Male,18,Food & Beverage,2,10.46,Debit Card,3/24/2022,Metrocity
I687750,C299389,Female,18,Food & Beverage,2,10.46,Cash,1/8/2022,Metrocity
I272111,C166346,Male,18,Food & Beverage,2,10.46,Cash,2/8/2022,Kanyon
I132575,C483271,Female,18,Food & Beverage,2,10.46,Cash,2/23/2022,Kanyon
I164428,C551306,Male,18,Food & Beverage,4,20.92,Cash,3/4/2022,Metrocity
I307163,C889398,Female,18,Food & Beverage,4,20.92,Credit Card,3/9/2022,Mall of Istanbul
I198249,C672168,Male,18,Food & Beverage,4,20.92,Credit Card,3/24/2022,Metrocity
I235361,C288710,Female,18,Toys,1,35.84,Cash,2/6/2022,Mall of Istanbul
I325177,C155328,Male,18,Toys,2,71.68,Cash,1/22/2022,Mall of Istanbul
I122461,C139523,Male,18,Toys,2,71.68,Debit Card,3/16/2022,Kanyon
I121845,C157604,Female,18,Toys,2,71.68,Debit Card,1/29/2022,Kanyon
I257823,C324919,Female,18,Toys,4,143.36,Credit Card,2/10/2022,Mall of Istanbul
I201542,C110777,Male,18,Souvenir,1,11.73,Credit Card,2/28/2022,Mall of Istanbul
I245087,C244621,Male,18,Souvenir,1,11.73,Credit Card,3/24/2022,Zorlu Center
I305640,C217009,Male,18,Souvenir,2,23.46,Credit Card,2/15/2022,Mall of Istanbul
I315737,C145716,Female,18,Souvenir,4,46.92,Cash,3/5/2022,Metrocity
I101621,C325188,Female,18,Souvenir,4,46.92,Cash,3/19/2022,Kanyon
I282844,C283887,Male,18,Souvenir,4,46.92,Cash,1/11/2022,Metrocity
I125499,C164053,Male,19,Technology,1,1050,Credit Card,1/5/2022,Kanyon
I280979,C122431,Male,19,Technology,1,1050,Cash,1/17/2022,Mall of Istanbul
I841449,C238638,Female,19,Technology,4,4200,Cash,3/12/2022,Mall of Istanbul
I229087,C164910,Female,19,Technology,5,5250,Credit Card,3/12/2022,Zorlu Center
I266314,C108419,Male,19,Technology,5,5250,Cash,1/12/2022,Mall of Istanbul
I332955,C171518,Female,19,Technology,3,3150,Debit Card,3/17/2022,Zorlu Center
I621473,C205451,Female,19,Technology,3,3150,Debit Card,2/3/2022,Mall of Istanbul
I280478,C135597,Female,19,Books,5,75.75,Cash,1/28/2022,Mall of Istanbul
I164382,C256911,Male,19,Books,5,75.75,Debit Card,1/11/2022,Metrocity
I235793,C655887,Female,19,Cosmetics,1,40.66,Cash,1/28/2022,Kanyon
I275657,C280290,Male,19,Cosmetics,1,40.66,Cash,2/1/2022,Mall of Istanbul
I173184,C332374,Male,19,Cosmetics,1,40.66,Credit Card,3/5/2022,Metrocity
I894729,C177102,Male,19,Cosmetics,1,40.66,Credit Card,1/31/2022,Kanyon
I751754,C183684,Male,19,Cosmetics,1,40.66,Credit Card,3/26/2022,Kanyon
I113282,C245511,Male,19,Cosmetics,2,81.32,Credit Card,3/13/2022,Metrocity
I228261,C620208,Male,19,Cosmetics,4,162.64,Debit Card,2/6/2022,Mall of Istanbul
I558242,C237083,Male,19,Cosmetics,4,162.64,Credit Card,3/30/2022,Metrocity
I131439,C315602,Female,19,Souvenir,5,58.65,Cash,3/28/2022,Metrocity
I182838,C281392,Male,19,Souvenir,5,58.65,Cash,2/21/2022,Kanyon
I124049,C111652,Female,19,Souvenir,5,58.65,Credit Card,1/24/2022,Kanyon
I658081,C264524,Female,19,Souvenir,5,58.65,Debit Card,2/27/2022,Mall of Istanbul
I265509,C674022,Male,19,Shoes,5,3000.85,Cash,1/16/2022,Metrocity
I489283,C229940,Male,19,Shoes,5,3000.85,Cash,3/6/2022,Mall of Istanbul
I312939,C732656,Female,19,Shoes,5,3000.85,Debit Card,3/6/2022,Kanyon
I618724,C287997,Male,19,Shoes,5,3000.85,Cash,2/19/2022,Metrocity
I585232,C153749,Female,19,Shoes,5,3000.85,Credit Card,1/23/2022,Mall of Istanbul
I169755,C273770,Female,19,Clothing,3,900.24,Debit Card,2/23/2022,Kanyon
I919485,C202049,Male,19,Clothing,3,900.24,Credit Card,3/10/2022,Kanyon
I336751,C185540,Female,19,Clothing,3,900.24,Credit Card,3/29/2022,Mall of Istanbul
I286904,C111157,Female,19,Clothing,3,900.24,Debit Card,1/1/2022,Mall of Istanbul
I695130,C333362,Female,19,Clothing,3,900.24,Credit Card,3/16/2022,Kanyon
I145174,C297501,Male,19,Clothing,3,900.24,Cash,2/3/2022,Mall of Istanbul
I242255,C286136,Female,19,Clothing,3,900.24,Credit Card,1/15/2022,Kanyon
I113373,C161994,Male,19,Clothing,3,900.24,Cash,2/20/2022,Metrocity
I176843,C145113,Female,19,Clothing,3,900.24,Debit Card,2/2/2022,Metrocity
I496685,C203422,Female,19,Clothing,3,900.24,Credit Card,1/20/2022,Mall of Istanbul
I120662,C150867,Female,19,Clothing,3,900.24,Credit Card,2/22/2022,Forum Istanbul
I295070,C272607,Female,19,Clothing,3,900.24,Cash,1/30/2022,Mall of Istanbul
I997951,C291374,Male,19,Clothing,3,900.24,Cash,1/9/2022,Zorlu Center
I225328,C106908,Female,19,Clothing,3,900.24,Cash,2/18/2022,Zorlu Center
I253924,C212127,Female,19,Food & Beverage,5,26.15,Credit Card,2/11/2022,Metrocity
I251689,C327156,Female,19,Food & Beverage,5,26.15,Cash,3/21/2022,Kanyon
I198932,C885631,Male,19,Food & Beverage,5,26.15,Cash,3/8/2022,Zorlu Center
I175441,C126396,Female,19,Food & Beverage,5,26.15,Cash,2/6/2022,Forum Istanbul
I152572,C631973,Female,19,Toys,5,179.2,Credit Card,1/15/2022,Mall of Istanbul
I332984,C298888,Male,19,Toys,5,179.2,Debit Card,3/23/2022,Metrocity
I101034,C722304,Male,19,Toys,5,179.2,Cash,2/26/2022,Metrocity
I112838,C945152,Female,19,Toys,5,179.2,Credit Card,3/14/2022,Mall of Istanbul
I160804,C325376,Female,19,Shoes,1,600.17,Cash,2/26/2022,Mall of Istanbul
I784194,C168803,Female,19,Shoes,2,1200.34,Debit Card,2/11/2022,Kanyon
I338927,C211752,Male,19,Shoes,2,1200.34,Debit Card,2/22/2022,Kanyon
I236657,C299247,Male,19,Shoes,2,1200.34,Debit Card,1/18/2022,Kanyon
I236241,C322569,Female,19,Shoes,2,1200.34,Credit Card,1/2/2022,Mall of Istanbul
I271238,C120018,Female,19,Shoes,4,2400.68,Debit Card,1/18/2022,Kanyon
I295450,C306178,Male,19,Shoes,4,2400.68,Cash,1/29/2022,Kanyon
I303594,C649347,Female,19,Shoes,4,2400.68,Debit Card,3/16/2022,Mall of Istanbul
I972390,C281727,Female,19,Shoes,4,2400.68,Credit Card,2/13/2022,Zorlu Center
I125786,C161245,Female,19,Cosmetics,5,203.3,Debit Card,1/9/2022,Kanyon
I312342,C260505,Female,19,Cosmetics,5,203.3,Cash,1/22/2022,Metrocity
I316969,C188180,Male,19,Cosmetics,5,203.3,Cash,3/6/2022,Metrocity
I195963,C831359,Male,19,Cosmetics,5,203.3,Cash,1/4/2022,Metrocity
I113180,C388470,Male,19,Cosmetics,5,203.3,Credit Card,1/26/2022,Metrocity
I269437,C259373,Female,19,Cosmetics,5,203.3,Cash,1/6/2022,Kanyon
I166588,C516464,Female,19,Cosmetics,5,203.3,Cash,2/26/2022,Metrocity
I314478,C757346,Female,19,Cosmetics,5,203.3,Credit Card,1/1/2022,Metrocity
I722991,C206713,Female,19,Clothing,5,1500.4,Cash,3/12/2022,Zorlu Center
I338591,C314782,Female,19,Clothing,5,1500.4,Credit Card,3/1/2022,Kanyon
I277178,C984007,Female,19,Clothing,5,1500.4,Credit Card,3/21/2022,Metrocity
I317982,C103886,Male,19,Clothing,5,1500.4,Cash,1/12/2022,Mall of Istanbul
I203509,C125501,Female,19,Clothing,5,1500.4,Credit Card,2/26/2022,Kanyon
I141018,C695497,Male,19,Clothing,5,1500.4,Credit Card,1/11/2022,Mall of Istanbul
I244825,C130627,Male,19,Clothing,5,1500.4,Credit Card,3/18/2022,Mall of Istanbul
I890999,C310413,Female,19,Books,3,45.45,Cash,2/6/2022,Metrocity
I220675,C280142,Female,19,Books,3,45.45,Cash,2/9/2022,Metrocity
I166160,C557474,Female,19,Books,3,45.45,Credit Card,2/16/2022,Mall of Istanbul
I234138,C197738,Female,19,Books,3,45.45,Cash,3/16/2022,Kanyon
I705105,C313698,Male,19,Souvenir,3,35.19,Debit Card,1/1/2022,Kanyon
I228038,C310672,Female,19,Souvenir,3,35.19,Debit Card,1/2/2022,Kanyon
I332005,C143934,Female,19,Books,4,60.6,Credit Card,1/17/2022,Kanyon
I246976,C107645,Female,19,Books,4,60.6,Cash,2/25/2022,Mall of Istanbul
I178774,C147529,Female,19,Books,4,60.6,Credit Card,2/25/2022,Kanyon
I155847,C603796,Male,19,Shoes,3,1800.51,Credit Card,1/1/2022,Mall of Istanbul
I272472,C186715,Female,19,Shoes,3,1800.51,Debit Card,3/14/2022,Mall of Istanbul
I299607,C205960,Female,19,Shoes,3,1800.51,Cash,3/19/2022,Kanyon
I941653,C235705,Female,19,Shoes,3,1800.51,Debit Card,3/6/2022,Mall of Istanbul
I177176,C381383,Female,19,Shoes,3,1800.51,Cash,2/26/2022,Metrocity
I157544,C917816,Female,19,Food & Beverage,3,15.69,Cash,3/6/2022,Mall of Istanbul
I318725,C189302,Male,19,Food & Beverage,3,15.69,Debit Card,3/6/2022,Zorlu Center
I258733,C186535,Male,19,Food & Beverage,3,15.69,Debit Card,3/24/2022,Mall of Istanbul
I278282,C250439,Female,19,Food & Beverage,3,15.69,Cash,1/1/2022,Kanyon
I181690,C282590,Male,19,Food & Beverage,3,15.69,Credit Card,1/21/2022,Kanyon
I705929,C309609,Female,19,Food & Beverage,3,15.69,Cash,2/23/2022,Mall of Istanbul
I588716,C461203,Female,19,Food & Beverage,3,15.69,Credit Card,3/21/2022,Kanyon
I101634,C318714,Female,19,Clothing,1,300.08,Debit Card,3/11/2022,Metrocity
I300629,C154008,Female,19,Clothing,1,300.08,Cash,2/25/2022,Zorlu Center
I259300,C186703,Female,19,Clothing,1,300.08,Cash,1/14/2022,Metrocity
I233982,C534080,Female,19,Clothing,1,300.08,Credit Card,2/3/2022,Kanyon
I726341,C230716,Female,19,Clothing,1,300.08,Credit Card,3/6/2022,Zorlu Center
I149500,C140039,Male,19,Clothing,1,300.08,Credit Card,1/12/2022,Kanyon
I234542,C106816,Female,19,Clothing,1,300.08,Credit Card,3/12/2022,Kanyon
I280735,C226447,Male,19,Clothing,1,300.08,Credit Card,3/27/2022,Mall of Istanbul
I240955,C440158,Male,19,Clothing,1,300.08,Credit Card,2/26/2022,Mall of Istanbul
I136591,C287145,Male,19,Clothing,1,300.08,Credit Card,3/5/2022,Mall of Istanbul
I912588,C107766,Male,19,Clothing,1,300.08,Credit Card,3/7/2022,Mall of Istanbul
I185215,C270943,Male,19,Clothing,1,300.08,Credit Card,1/31/2022,Mall of Istanbul
I130523,C117842,Female,19,Clothing,2,600.16,Debit Card,3/9/2022,Metrocity
I128144,C243608,Male,19,Clothing,2,600.16,Credit Card,1/30/2022,Kanyon
I290369,C146808,Female,19,Clothing,2,600.16,Cash,2/9/2022,Metrocity
I141828,C604521,Male,19,Clothing,2,600.16,Credit Card,2/19/2022,Mall of Istanbul
I217969,C105254,Male,19,Clothing,2,600.16,Credit Card,2/24/2022,Kanyon
I112050,C303161,Female,19,Clothing,2,600.16,Cash,2/20/2022,Metrocity
I325640,C347012,Female,19,Clothing,2,600.16,Credit Card,1/2/2022,Mall of Istanbul
I379756,C309141,Female,19,Clothing,2,600.16,Debit Card,2/17/2022,Metrocity
I318100,C139358,Male,19,Clothing,2,600.16,Cash,3/14/2022,Mall of Istanbul
I137953,C279918,Female,19,Clothing,2,600.16,Credit Card,1/5/2022,Mall of Istanbul
I965993,C215092,Female,19,Clothing,2,600.16,Debit Card,2/16/2022,Kanyon
I831150,C964897,Male,19,Clothing,2,600.16,Cash,1/26/2022,Mall of Istanbul
I319309,C200499,Female,19,Clothing,2,600.16,Debit Card,2/5/2022,Mall of Istanbul
I282729,C409191,Female,19,Clothing,2,600.16,Debit Card,1/19/2022,Metrocity
I300770,C203787,Male,19,Clothing,2,600.16,Cash,3/3/2022,Kanyon
I119262,C260538,Female,19,Clothing,4,1200.32,Credit Card,3/3/2022,Kanyon
I514090,C108532,Male,19,Clothing,4,1200.32,Credit Card,3/4/2022,Mall of Istanbul
I192574,C131032,Female,19,Clothing,4,1200.32,Credit Card,1/26/2022,Mall of Istanbul
I550761,C130777,Female,19,Clothing,4,1200.32,Debit Card,2/1/2022,Mall of Istanbul
I186342,C276551,Female,19,Clothing,4,1200.32,Cash,1/11/2022,Mall of Istanbul
I218701,C753887,Female,19,Clothing,4,1200.32,Credit Card,1/9/2022,Mall of Istanbul
I314645,C794682,Female,19,Clothing,4,1200.32,Debit Card,2/14/2022,Forum Istanbul
I268827,C873269,Male,19,Clothing,4,1200.32,Cash,2/25/2022,Kanyon
I231005,C555829,Female,19,Toys,3,107.52,Debit Card,2/21/2022,Kanyon
I312800,C696474,Female,19,Toys,3,107.52,Cash,2/27/2022,Metrocity
I317208,C522283,Female,19,Toys,3,107.52,Cash,3/11/2022,Mall of Istanbul
I280969,C175389,Male,19,Food & Beverage,1,5.23,Credit Card,1/7/2022,Mall of Istanbul
I172231,C125011,Female,19,Food & Beverage,1,5.23,Debit Card,2/27/2022,Kanyon
I174465,C327003,Male,19,Food & Beverage,1,5.23,Cash,1/25/2022,Kanyon
I192952,C240721,Female,19,Food & Beverage,1,5.23,Cash,3/29/2022,Metrocity
I142138,C171980,Female,19,Food & Beverage,1,5.23,Credit Card,2/25/2022,Mall of Istanbul
I179781,C295952,Male,19,Food & Beverage,1,5.23,Credit Card,3/17/2022,Kanyon
I190561,C300917,Male,19,Food & Beverage,2,10.46,Credit Card,2/9/2022,Kanyon
I316686,C846357,Male,19,Food & Beverage,2,10.46,Credit Card,2/17/2022,Metrocity
I219767,C656584,Female,19,Food & Beverage,2,10.46,Debit Card,2/28/2022,Mall of Istanbul
I321143,C545351,Female,19,Food & Beverage,2,10.46,Credit Card,1/7/2022,Mall of Istanbul
I186323,C389109,Female,19,Food & Beverage,2,10.46,Credit Card,2/7/2022,Mall of Istanbul
I312306,C330032,Female,19,Food & Beverage,2,10.46,Credit Card,2/20/2022,Zorlu Center
I261686,C447442,Female,19,Food & Beverage,4,20.92,Cash,3/24/2022,Kanyon
I105255,C869312,Female,19,Food & Beverage,4,20.92,Debit Card,1/28/2022,Zorlu Center
I107561,C595422,Female,19,Food & Beverage,4,20.92,Credit Card,3/17/2022,Metrocity
I278323,C163965,Female,19,Food & Beverage,4,20.92,Credit Card,3/16/2022,Kanyon
I240331,C203792,Female,19,Food & Beverage,4,20.92,Credit Card,2/5/2022,Kanyon
I264279,C314285,Female,19,Toys,1,35.84,Cash,1/1/2022,Kanyon
I592272,C123060,Male,19,Toys,1,35.84,Cash,1/3/2022,Zorlu Center
I956485,C131132,Female,19,Toys,1,35.84,Cash,3/1/2022,Kanyon
I294929,C191844,Female,19,Toys,1,35.84,Debit Card,3/19/2022,Mall of Istanbul
I467516,C262645,Male,19,Toys,4,143.36,Credit Card,1/20/2022,Mall of Istanbul
I215141,C826514,Female,19,Souvenir,1,11.73,Cash,1/25/2022,Kanyon
I191163,C766206,Male,19,Souvenir,1,11.73,Cash,2/1/2022,Mall of Istanbul
I231808,C397930,Male,19,Souvenir,2,23.46,Credit Card,1/24/2022,Zorlu Center
I139092,C163621,Female,19,Souvenir,4,46.92,Debit Card,3/22/2022,Mall of Istanbul
I273570,C215068,Male,19,Souvenir,4,46.92,Credit Card,1/25/2022,Forum Istanbul
I337214,C108408,Male,20,Technology,1,1050,Cash,2/26/2022,Metrocity
I943971,C237258,Female,20,Technology,1,1050,Cash,1/6/2022,Metrocity
I151616,C251746,Female,20,Technology,2,2100,Cash,1/7/2022,Metrocity
I295201,C237207,Male,20,Technology,2,2100,Credit Card,1/31/2022,Forum Istanbul
I162576,C300296,Male,20,Technology,2,2100,Debit Card,1/16/2022,Kanyon
I422213,C390994,Male,20,Technology,3,3150,Credit Card,1/5/2022,Kanyon
I314095,C161464,Female,20,Technology,3,3150,Cash,3/18/2022,Zorlu Center
I444314,C289105,Male,20,Books,5,75.75,Debit Card,3/28/2022,Mall of Istanbul
I104683,C215955,Male,20,Cosmetics,1,40.66,Cash,2/13/2022,Forum Istanbul
I311255,C551731,Female,20,Cosmetics,1,40.66,Debit Card,1/12/2022,Metrocity
I339782,C265769,Male,20,Cosmetics,2,81.32,Cash,3/10/2022,Forum Istanbul
I945284,C110199,Female,20,Cosmetics,2,81.32,Cash,1/17/2022,Zorlu Center
I319159,C383343,Male,20,Cosmetics,2,81.32,Debit Card,3/31/2022,Metrocity
I300764,C309496,Female,20,Cosmetics,2,81.32,Cash,2/23/2022,Forum Istanbul
I206504,C148932,Male,20,Cosmetics,4,162.64,Credit Card,1/20/2022,Mall of Istanbul
I874516,C300050,Female,20,Cosmetics,4,162.64,Cash,2/18/2022,Mall of Istanbul
